money_source,cycle,politician_name,district_run_for,house,sector,amount_raised
p,1990,Al Gore (D),TNS2,s,Agribusiness,49640
i,1990,Al Gore (D),TNS2,s,Agribusiness,16000
p,1990,Al Gore (D),TNS2,s,Communic/Electronics,113806
i,1990,Al Gore (D),TNS2,s,Communic/Electronics,75542
i,1990,Al Gore (D),TNS2,s,Construction,41700
p,1990,Al Gore (D),TNS2,s,Construction,16852
p,1990,Al Gore (D),TNS2,s,Defense,50500
i,1990,Al Gore (D),TNS2,s,Defense,3800
i,1990,Al Gore (D),TNS2,s,Energy/Nat Resource,20073
p,1990,Al Gore (D),TNS2,s,Energy/Nat Resource,42366
p,1990,Al Gore (D),TNS2,s,Finance/Insur/RealEst,139126
i,1990,Al Gore (D),TNS2,s,Finance/Insur/RealEst,160721
p,1990,Al Gore (D),TNS2,s,Health,54650
i,1990,Al Gore (D),TNS2,s,Health,42250
p,1990,Al Gore (D),TNS2,s,Ideology/Single-Issue,69878
i,1990,Al Gore (D),TNS2,s,Ideology/Single-Issue,93630
i,1990,Al Gore (D),TNS2,s,Labor,1500
p,1990,Al Gore (D),TNS2,s,Labor,225641
p,1990,Al Gore (D),TNS2,s,Lawyers & Lobbyists,56993
i,1990,Al Gore (D),TNS2,s,Lawyers & Lobbyists,198910
i,1990,Al Gore (D),TNS2,s,Misc Business,72698
p,1990,Al Gore (D),TNS2,s,Misc Business,42500
i,1990,Al Gore (D),TNS2,s,Non-contribution,5609
p,1990,Al Gore (D),TNS2,s,Other,1000
i,1990,Al Gore (D),TNS2,s,Other,41775
p,1990,Al Gore (D),TNS2,s,Party Cmte,42500
i,1990,Al Gore (D),TNS2,s,Party Cmte,250
p,1990,Al Gore (D),TNS2,s,Transportation,68792
i,1990,Al Gore (D),TNS2,s,Transportation,27100
i,1990,Al Gore (D),TNS2,s,Unknown,220174
p,1990,Alan K Simpson (R),WYS2,s,Agribusiness,48600
i,1990,Alan K Simpson (R),WYS2,s,Agribusiness,19950
p,1990,Alan K Simpson (R),WYS2,s,Communic/Electronics,57706
i,1990,Alan K Simpson (R),WYS2,s,Communic/Electronics,21800
i,1990,Alan K Simpson (R),WYS2,s,Construction,10750
p,1990,Alan K Simpson (R),WYS2,s,Construction,38500
i,1990,Alan K Simpson (R),WYS2,s,Defense,1000
p,1990,Alan K Simpson (R),WYS2,s,Defense,25500
i,1990,Alan K Simpson (R),WYS2,s,Energy/Nat Resource,32281
p,1990,Alan K Simpson (R),WYS2,s,Energy/Nat Resource,131750
i,1990,Alan K Simpson (R),WYS2,s,Finance/Insur/RealEst,48200
p,1990,Alan K Simpson (R),WYS2,s,Finance/Insur/RealEst,168830
i,1990,Alan K Simpson (R),WYS2,s,Health,10700
p,1990,Alan K Simpson (R),WYS2,s,Health,50250
p,1990,Alan K Simpson (R),WYS2,s,Ideology/Single-Issue,16100
i,1990,Alan K Simpson (R),WYS2,s,Ideology/Single-Issue,10050
p,1990,Alan K Simpson (R),WYS2,s,Labor,6164
i,1990,Alan K Simpson (R),WYS2,s,Lawyers & Lobbyists,27400
p,1990,Alan K Simpson (R),WYS2,s,Lawyers & Lobbyists,29000
p,1990,Alan K Simpson (R),WYS2,s,Misc Business,69227
i,1990,Alan K Simpson (R),WYS2,s,Misc Business,35418
i,1990,Alan K Simpson (R),WYS2,s,Non-contribution,22200
i,1990,Alan K Simpson (R),WYS2,s,Other,14500
i,1990,Alan K Simpson (R),WYS2,s,Party Cmte,5500
p,1990,Alan K Simpson (R),WYS2,s,Party Cmte,102621
p,1990,Alan K Simpson (R),WYS2,s,Transportation,59000
i,1990,Alan K Simpson (R),WYS2,s,Transportation,5700
i,1990,Alan K Simpson (R),WYS2,s,Unknown,73807
p,1990,Bill Bradley (D),NJS2,s,Agribusiness,25500
i,1990,Bill Bradley (D),NJS2,s,Agribusiness,44425
p,1990,Bill Bradley (D),NJS2,s,Communic/Electronics,69958
i,1990,Bill Bradley (D),NJS2,s,Communic/Electronics,441817
p,1990,Bill Bradley (D),NJS2,s,Construction,19500
i,1990,Bill Bradley (D),NJS2,s,Construction,180250
p,1990,Bill Bradley (D),NJS2,s,Defense,16000
i,1990,Bill Bradley (D),NJS2,s,Defense,11800
p,1990,Bill Bradley (D),NJS2,s,Energy/Nat Resource,86450
i,1990,Bill Bradley (D),NJS2,s,Energy/Nat Resource,68892
p,1990,Bill Bradley (D),NJS2,s,Finance/Insur/RealEst,268500
i,1990,Bill Bradley (D),NJS2,s,Finance/Insur/RealEst,1607835
i,1990,Bill Bradley (D),NJS2,s,Health,175386
p,1990,Bill Bradley (D),NJS2,s,Health,120000
i,1990,Bill Bradley (D),NJS2,s,Ideology/Single-Issue,256689
